flow_duration,upstream_volume,downstream_volume,num_packets_upstream,num_packets_downstream,upstream_packet_size_mean,upstream_packet_size_median,upstream_packet_size_std,upstream_packet_size_min,upstream_packet_size_max,upstream_packet_size_25th_percentile,upstream_packet_size_75th_percentile,upstream_packet_size_10th_percentile,upstream_packet_size_90th_percentile,downstream_packet_size_mean,downstream_packet_size_median,downstream_packet_size_std,downstream_packet_size_min,downstream_packet_size_max,downstream_packet_size_25th_percentile,downstream_packet_size_75th_percentile,downstream_packet_size_10th_percentile,downstream_packet_size_90th_percentile,upstream_interarrival_time_mean,upstream_interarrival_time_median,upstream_interarrival_time_std,upstream_interarrival_time_min,upstream_interarrival_time_max,upstream_interarrival_time_25th_percentile,upstream_interarrival_time_75th_percentile,upstream_interarrival_time_10th_percentile,upstream_interarrival_time_90th_percentile,downstream_interarrival_time_mean,downstream_interarrival_time_median,downstream_interarrival_time_std,downstream_interarrival_time_min,downstream_interarrival_time_max,downstream_interarrival_time_25th_percentile,downstream_interarrival_time_75th_percentile,downstream_interarrival_time_10th_percentile,downstream_interarrival_time_90th_percentile,label
10.571623000,560614,226608,5983,4008,93.70115326759151,94.0,3.4366225859318162,54,94,94.0,94.0,94.0,94.0,56.538922155688624,54.0,9.088697612607357,54,94,54.0,54.0,54.0,54.0,0.0017672326980942828,0.0010945,0.0035289179240636224,0E-9,0.212251000,0.00031800000,0.00276725000,0.0001090000000000000000000000000,0.004122700000000001637090463191,0.0026382765160968304,0.002318,0.004596274578764843,0.000002000,0.248822000,0.0010060000,0.0037015000,0.0004726000000000000227373675443,0.004864400000000000090949470177,Wired
10.149752000,1109532,417598,11820,7523,93.86903553299493,94.0,2.2789120145301927,54,94,94.0,94.0,94.0,94.0,55.50950418715938,54.0,6.810791037858162,54,94,54.0,54.0,54.0,54.0,0.0008587657162196462,0.000651,0.0010262691656816234,0E-9,0.031996000,0.0001870000,0.0012450000,0.00009100000000000000000000000000,0.001824000000000000000000000000,0.001345432464770008,0.001162,0.0012908458399854127,0.000003000,0.035585000,0.00058625000,0.00180100000,0.0001990000000000000000000000000,0.002663900000000000545696821064,Wired
10.669605000,5924576,1625714,87976,17297,67.3430935709739,54.0,15.438780481389353,54,94,54.0,82.0,54.0,90.0,93.98820604729144,94.0,0.6557576964336566,54,94,94.0,94.0,94.0,94.0,0.00012127977266268825,0.0,0.0007467787287376935,0E-9,0.035734000,0E-10,0E-10,0E-48,0.00003200000000000000000000000000,0.0006168803191489362,0.0007164999999999999,0.0011558838585909329,0E-9,0.057731000,0.00008000000,0.00094300000,0.0000500000,0.0009650000,Wired
10.506869000,565276,1122172,7202,11940,78.48875312413219,78.0,9.11659412459425,66,94,78.0,78.0,66.0,94.0,93.98425460636516,94.0,0.6536501764283965,66,94,94.0,94.0,94.0,94.0,0.001459084710456881,0.0,0.00367983632305702,0E-9,0.038878000,0E-9,0.000038000,0E-9,0.005735000,0.000877564452634224,0.000525,0.001913859665789145,0E-9,0.048336000,0.0002265000,0.0009670000,0.00007800000000000000000000000000,0.001280000000000000000000000000,Wired
10.216318000,1775198,894684,18889,12710,93.98051776166022,94.0,0.7216632798397227,66,94,94.0,94.0,94.0,94.0,70.39213217938631,66.0,7.172731502471128,66,94,66.0,78.0,66.0,78.0,0.000540889347734011,0.000185,0.0029615167269344557,0E-9,0.252063000,0.00008500000,0.00034000000,0.000009000000000000000000000000000,0.0005930000000000000000000000000,0.0008037797623731215,0.000297,0.0034920127311603094,0E-9,0.257156000,0.000123000,0.000508000,0.00001500000000000000000000000000,0.001771000000000003637978807092,Wired
10.346738000,266662,1071544,4901,11402,54.40971230361151,54.0,3.818144054282749,54,94,54.0,54.0,54.0,54.0,93.97860024557096,94.0,0.8901993668386181,54,94,94.0,94.0,94.0,94.0,0.0021115791836734694,0.0015725000000000001,0.002452709881262047,0E-9,0.045866000,0E-11,0.00391325000,0E-53,0.004833000000000000000000000000,0.000907161301640207,0.000907,0.0012250090140150376,0.000008000,0.085586000,0.000878000,0.000927000,0.000451000,0.000971000,Wired
10.465983000,3199876,1349596,40260,14360,79.4802781917536,82.0,10.971866795231822,54,94,66.0,90.0,66.0,90.0,93.98300835654597,94.0,0.7932726947806193,54,94,94.0,94.0,94.0,94.0,0.00025996557291537293,0.0,0.0013073558152578472,0E-9,0.052165000,0E-10,0E-10,0E-49,0.00009700000000000000000000000000,0.0007288771502193747,0.000916,0.0011135705698050722,0E-9,0.063094000,0.0004620000,0.0009470000,0.00007600000000000000000000000000,0.0009600000000000000000000000000,Wired
10.886076000,2605120,1290698,31002,13733,84.03070769627766,90.0,10.495781955891703,54,94,82.0,90.0,66.0,90.0,93.98514527051627,94.0,0.735920848812535,54,94,94.0,94.0,94.0,94.0,0.0003511524144382439,0.0,0.0015991071939179243,0E-9,0.058245000,0E-9,0E-9,0E-9,0.000071000,0.0007923091319545587,0.000879,0.0018526968367523881,0E-9,0.097941000,0.00030650000,0.00095000000,0.0001030000000000000000000000000,0.0009720000000000000000000000000,Wired
10.431437000,1240378,1008248,17731,10730,69.9553324685579,66.0,7.050029194017379,66,94,66.0,78.0,66.0,78.0,93.96533084808947,94.0,0.9008598266132403,66,94,94.0,94.0,94.0,94.0,0.0005883495205865765,0.0,0.00271000726922163,0E-9,0.231865000,0E-11,0E-11,0E-50,0.0006503000000000047293724492192,0.0009696982943424363,0.000689,0.003283366666133773,0E-9,0.260609000,0.000394000,0.000748000,0.00007800000000000000000000000000,0.0009722000000000007275957614183,Wired
0.268123000,1152,940,15,12,76.8,72.0,15.63512529074017,54,94,66.0,94.0,58.800000000000004,94.0,78.33333333333333,76.0,14.913894274274659,54,94,66.0,94.0,66.0,94.0,0.019150214285714284,0.0082515,0.020682322210706237,0E-9,0.048787000,0.00126400000,0.04333650000,0E-61,0.04691940000000000363655772162,0.024371272727272728,0.002003,0.02772129808320999,0.000011000,0.061679000,0.0000780000,0.0511620000,0.000077000,0.052521000,Wired
